Model,Threshold,Num_Images,TP,FP,TN,FN,Precision,Recall,Specificity,F1_Score,Accuracy,IoU,Dice
deeplabv3_data100,0.3,942,361,15538,903064,4614,0.022705830555380842,0.07256281407035176,0.9830851663723789,0.0345884832806362,0.9781804873876244,0.017598596012284893,0.0345884832806362
deeplabv3_data100,0.5,942,359,15391,903211,4616,0.022793650793650793,0.0721608040201005,0.9832451921506812,0.03464414957780458,0.9783374856671399,0.017627418246096434,0.03464414957780458
deeplabv3_data100,0.7,942,353,14999,903603,4622,0.022993746743095362,0.07095477386934673,0.9836719275594872,0.034732129679736316,0.9787554259146773,0.017672974867327527,0.03473212967973631
deeplabv3_data25,0.3,942,210,10441,908161,4765,0.0197164585484931,0.04221105527638191,0.9886338152975935,0.026878279790093437,0.9835357528392327,0.013622210690192009,0.026878279790093433
deeplabv3_data25,0.5,942,209,10344,908258,4766,0.019804794845067752,0.04201005025125628,0.9887394105390582,0.02691911385883565,0.9836396965277394,0.013643188197663032,0.026919113858835653
deeplabv3_data25,0.7,942,206,10107,908495,4769,0.01997478910113449,0.041407035175879396,0.988997411283668,0.02694924123495552,0.9838930592684746,0.013658665959421827,0.02694924123495552
deeplabv3_data50,0.3,942,460,29176,889426,4515,0.015521662842488865,0.09246231155778895,0.9682386931445828,0.026581144722775996,0.9635211790679066,0.013469590934379667,0.026581144722775996
deeplabv3_data50,0.5,942,454,28843,889759,4521,0.015496467215073216,0.09125628140703518,0.9686012005199205,0.02649393090569561,0.9638752372568827,0.013424803359157845,0.02649393090569561
deeplabv3_data50,0.7,942,437,28072,890530,4538,0.01532849275667333,0.0878391959798995,0.9694405193979547,0.026102018874686415,0.9646916283103628,0.01322359064362877,0.026102018874686418
deeplabv3_data75,0.3,942,528,19330,899272,4447,0.02658878034041696,0.10613065326633166,0.978957154458623,0.04252406072564732,0.9742555303997392,0.02172392511828842,0.04252406072564732
deeplabv3_data75,0.5,942,523,19144,899458,4452,0.02659276961407434,0.10512562814070352,0.9791596360556585,0.04244785325866407,0.9744515075624447,0.02168414942576392,0.04244785325866407
deeplabv3_data75,0.7,942,520,18623,899979,4455,0.027163976388235908,0.10452261306532663,0.9797268022495053,0.04312132017580231,0.9750123703816791,0.022035765742859564,0.04312132017580231
deeplabv3_resnet101,0.3,942,552,14064,904538,4423,0.03776683087027915,0.11095477386934674,0.9846897785983484,0.056352406717370226,0.9799832607351634,0.028993119386522402,0.05635240671737022
deeplabv3_resnet101,0.5,942,549,13902,904700,4426,0.037990450487855515,0.11035175879396984,0.9848661335377018,0.05652218676001237,0.9801554174692527,0.029083011071674523,0.056522186760012354
